Event Name;Local Gym;Organisation / Gym;Location;Start Date;End Date;Type Race: Solo;Type Race: Duo / Buddy;Type Race: Relay;Type Race: Team;Type Race: Other;Type race;Division: Open / Normal;Division: Pro / Heavy;Division: Other;Ticket Price Low;Ticket Price High;Fitness / Obstacle;Indoor / Outdoor;Hyrox Workout;About This Event;Instagram (link);Website (link);Tickets (link);Workout (link);Weights (link);Contact / Email
Challenge Accepted;No;Challenge Accepted;Olympisch Stadion, Amsterdam;06/06/2026;07/06/2026;No;Yes;No;No;No;Duo – Hybrid fitness race (8 stations + 8 km running);Yes;No;No;70;120;Fitness;Outdoor;No;"Challenge Accepted (CA) is het nieuwe sportevenement dat plaatsvindt op een historische locatie in Amsterdam, namelijk in het Olympisch Stadion. Een plek waar geschiedenis is geschreven, sportprestaties zijn geleverd en waar deelnemers keer op keer nieuwe uitdagingen aangaan. Hybrid fitness race (8 stations + 7 km running). Festival setting met muziek/foodtrucks; duo‑format; waves per dag";https://www.instagram.com/challengeaccepted.nl/;https://www.challengeaccepted.nl/en;https://www.challengeaccepted.nl/en/tickets;https://www.challengeaccepted.nl/over-event;;info@challengeaccepted.nl
HYROX Simulation Leiden;Yes;CrossFit Leiden;CrossFit Leiden, Leiden;04/01/2026;;Yes;Yes;No;No;No;Solo / Duo – HYROX simulation;Yes;Yes;No;Uitverkocht;;Fitness;Outdoor + Indoor;Yes;"Complete HYROX simulatie met Roxzone‑overgangen; vrijwilligers krijgen gratis deelname";https://www.instagram.com/crossfitleiden/;https://hyrox.crossfitleiden.com/;https://hyrox.crossfitleiden.com/;https://hyrox.crossfitleiden.com/;;https://www.instagram.com/crossfitleiden/
GRIT Game;Yes;CrossFit Zeewolde;Atletiekbaan, Zeewolde;07/09/2025;;Yes;Yes;No;Yes;No;Outdoor hybrid fitnessrace (7 stations / 8 km);Yes;No;No;Uitverkocht;;Fitness;Outdoor;No;In een wereld waar fitnessraces steeds extremer, duurder en complexer worden, gaan wij juist terug naar de kern. Geen lasers, rookmachines of overdreven fancy obstakels. Geen eindeloze afstanden of een overkill aan gewicht. Geen show. Geen dure tickets. Alleen GRIT. Outdoor hybrid fitnessrace (7 stations / 8 km);https://www.instagram.com/gritgame.nl/;https://gritgame.nl/;https://gritgame.nl/;https://gritgame.nl/;https://gritgame.nl/;info@gritgame.nl
Breakline;Yes;CrossFit Zeewolde;RCN Vakantiepark, Zeewolde;30/01/2026;;Yes;No;No;No;No;;Yes;Yes;No;69;109;Fitness;Outdoor;No;"Het fundament van BREAKLINE.
Endurance. Discipline. Herhaling.
Elk uur opnieuw, tot er niemand meer over is.";https://www.instagram.com/breakline.nl/;https://breakline.nl/;https://breakline.nl/;https://breakline.nl/;https://breakline.nl/;info@cfzeewolde.nl
HYROX Simulation Zwolle;Yes;FIT ELITE / Hyrox Zwolle;Ossenkamp 2T, Zwolle;Jan/26;;Yes;Yes;No;No;No;Solo / Duo – HYROX simulation;Yes;Yes;No;Niet bekend;;Fitness;Indoor;Yes;"Medio januari 2026 organiseert FIT ELITE, de enige echte HYROX GYM van Zwolle, weer een HYROX SIM. Dat wil zeggen, nu ga je voor een echte HYROX race simulatie; 8x 1000meter hardlopen gecombineerd met alle 8 onderdelen van de HYROX race.";https://www.instagram.com/zwollehyrox;https://zwollehyrox.nl/evenement/hyrox-sim-bij-fit-elite-hyrox-simulatie/;;;;info@zwollehyrox.nl
HYROX Simulation Groningen;Yes;Gustafit;Suikerterrein, Groningen;01/06/2025;;Yes;Yes;No;No;No;HYROX‑style outdoor simulatie (runs + stations);Yes;No;No;Uitverkocht;;Fitness;Outdoor;Yes;"Grootste outdoor HYROX simulatie van NL; opbrengst naar Jeugdfonds Sport & Cultuur";https://www.instagram.com/gustafitnl/;https://insidegroningen.com/event/hyrox-event/;https://insidegroningen.com/event/hyrox-event/;;;guus@gustafit.nl
Gymrace Airport Weeze;No;Gymrace;Airport Weeze, Duitsland;30/05/2026;;Yes;Yes;No;No;No;Solo / Buddies endurance track (runs + stations);Yes;Yes;No;82,5;97,5;Fitness;Indoor;No;Bij GYMRACE gaat het erom dat jij jezelf uitdaagt om jouw fitheid te testen, én een toffe dag beleeft. De gemiddelde finishtijd is 1 uur 20 minuten. Je kan solo racen of met je buddy. Met je buddy ren je samen van start tot finish, en verdeel je het werk bij de stations. Er zijn verschillende gewichten voor vrouwen, mannen en… er is de heavy categorie. Bij de heavy categorie zijn de krachtstations zwaarder. Kies een categorie die bij jou past én jou uitdaagt. Je kan meer dan je denkt.;https://www.instagram.com/gymrace/;https://www.gymrace.com/;https://www.gymrace.com/;https://www.gymrace.com/nl/de-race;https://www.gymrace.com/nl/de-race;service@gymrace.com
Gymrace Amsterdam;No;Gymrace;RAI, Amsterdam;27/02/2026;03/01/2026;Yes;Yes;No;No;No;Solo / Buddies endurance track (runs + stations);Yes;Yes;No;82,5;97,5;Fitness;Indoor;No;Bij GYMRACE gaat het erom dat jij jezelf uitdaagt om jouw fitheid te testen, én een toffe dag beleeft. De gemiddelde finishtijd is 1 uur 20 minuten. Je kan solo racen of met je buddy. Met je buddy ren je samen van start tot finish, en verdeel je het werk bij de stations. Er zijn verschillende gewichten voor vrouwen, mannen en… er is de heavy categorie. Bij de heavy categorie zijn de krachtstations zwaarder. Kies een categorie die bij jou past én jou uitdaagt. Je kan meer dan je denkt.;https://www.instagram.com/gymrace/;https://www.gymrace.com/;https://www.gymrace.com/;https://www.gymrace.com/nl/de-race;https://www.gymrace.com/nl/de-race;service@gymrace.com
Gymrace Utrecht;No;Gymrace;Jaarbeurs, Utrecht;02/05/2025;03/05/2025;Yes;Yes;No;No;No;Solo / Buddies endurance track (runs + stations);Yes;Yes;No;82,5;97,5;Fitness;Indoor;No;Bij GYMRACE gaat het erom dat jij jezelf uitdaagt om jouw fitheid te testen, én een toffe dag beleeft. De gemiddelde finishtijd is 1 uur 20 minuten. Je kan solo racen of met je buddy. Met je buddy ren je samen van start tot finish, en verdeel je het werk bij de stations. Er zijn verschillende gewichten voor vrouwen, mannen en… er is de heavy categorie. Bij de heavy categorie zijn de krachtstations zwaarder. Kies een categorie die bij jou past én jou uitdaagt. Je kan meer dan je denkt.;https://www.instagram.com/gymrace/;https://www.gymrace.com/;https://www.gymrace.com/;https://www.gymrace.com/nl/de-race;https://www.gymrace.com/nl/de-race;service@gymrace.com
Gymrace London;No;Gymrace;Excel London, London;21/03/2025;22/03/2025;Yes;Yes;No;No;No;Solo / Buddies endurance track (runs + stations);Yes;Yes;No;82,5;97,5;Fitness;Indoor;No;Bij GYMRACE gaat het erom dat jij jezelf uitdaagt om jouw fitheid te testen, én een toffe dag beleeft. De gemiddelde finishtijd is 1 uur 20 minuten. Je kan solo racen of met je buddy. Met je buddy ren je samen van start tot finish, en verdeel je het werk bij de stations. Er zijn verschillende gewichten voor vrouwen, mannen en… er is de heavy categorie. Bij de heavy categorie zijn de krachtstations zwaarder. Kies een categorie die bij jou past én jou uitdaagt. Je kan meer dan je denkt.;https://www.instagram.com/gymrace/;https://www.gymrace.com/;https://www.gymrace.com/;https://www.gymrace.com/nl/de-race;https://www.gymrace.com/nl/de-race;service@gymrace.com
